time;borrgt;rki
2013.06.16;73;91
2013.06.23;75;112
2013.06.30;78;123
2013.07.07;93;143
2013.07.14;91;215
2013.07.21;85;166
2013.07.28;71;187
2013.08.04;67;198
2013.08.11;67;165
2013.08.18;64;201
2013.08.25;60;225
2013.09.01;54;189
2013.09.08;47;179
2013.09.15;44;212
2013.09.22;51;163
2013.09.29;54;171
2013.10.06;47;126
2013.10.13;46;131
2013.10.20;50;119
2013.10.27;40;123
2013.11.03;47;126
2013.11.10;35;132
2013.11.17;34;125
2013.11.24;36;134
2013.12.01;26;127
2013.12.08;32;82
2013.12.15;29;95
2013.12.22;24;57
2013.12.29;22;20
2014.01.05;27;26
2014.01.12;30;57
2014.01.19;32;63
2014.01.26;28;54
2014.02.02;24;68
2014.02.09;29;39
2014.02.16;27;31
2014.02.23;26;19
2014.03.02;27;32
2014.03.09;28;29
2014.03.16;35;22
2014.03.23;34;33
2014.03.30;40;27
2014.04.06;43;29
2014.04.13;42;33
2014.04.20;49;30
2014.04.27;50;20
2014.05.04;53;31
2014.05.11;48;67
2014.05.18;54;55
2014.05.25;59;84
2014.06.01;64;40
2014.06.08;82;70
2014.06.15;72;71
2014.06.22;70;108
2014.06.29;62;104
2014.07.06;66;120
2014.07.13;71;154
2014.07.20;65;160
2014.07.27;65;140
2014.08.03;61;109
2014.08.10;53;127
2014.08.17;47;144
2014.08.24;47;120
2014.08.31;43;126
2014.09.07;43;101
2014.09.14;41;130
2014.09.21;38;106
2014.09.28;45;103
2014.10.05;35;81
2014.10.12;39;99
2014.10.19;36;101
2014.10.26;33;80
2014.11.02;32;52
2014.11.09;34;91
2014.11.16;34;88
2014.11.23;34;50
2014.11.30;28;61
2014.12.07;27;67
2014.12.14;31;43
2014.12.21;22;38
2014.12.28;18;21
2015.01.04;27;6
2015.01.11;29;23
2015.01.18;26;38
2015.01.25;26;37
2015.02.01;23;24
2015.02.08;24;20
2015.02.15;20;20
2015.02.22;21;21
2015.03.01;20;20
2015.03.08;25;18
2015.03.15;24;19
2015.03.22;28;14
2015.03.29;28;18
2015.04.05;33;14
2015.04.12;36;12
2015.04.19;40;26
2015.04.26;38;21
2015.05.03;53;24
2015.05.10;65;38
2015.05.17;56;35
2015.05.24;48;42
2015.05.31;52;52
2015.06.07;65;63
2015.06.14;63;84
2015.06.21;61;80
2015.06.28;100;95
2015.07.05;69;108
2015.07.12;76;91
2015.07.19;73;137
2015.07.26;61;125
2015.08.02;53;124
2015.08.09;54;116
2015.08.16;47;115
2015.08.23;47;128
2015.08.30;49;132
2015.09.06;41;128
2015.09.13;42;96
2015.09.20;37;130
2015.09.27;35;109
2015.10.04;32;83
2015.10.11;28;91
2015.10.18;32;92
2015.10.25;28;61
2015.11.01;28;69
2015.11.08;41;53
2015.11.15;34;60
2015.11.22;32;61
2015.11.29;34;51
2015.12.06;25;48
2015.12.13;25;40
2015.12.20;21;47
2015.12.27;18;23
2016.01.03;25;8
2016.01.10;21;19
2016.01.17;19;27
2016.01.24;27;24
2016.01.31;26;25
2016.02.07;22;19
2016.02.14;21;17
2016.02.21;25;20
2016.02.28;23;12
2016.03.06;27;14
2016.03.13;24;17
2016.03.20;27;15
2016.03.27;27;15
2016.04.03;29;7
2016.04.10;37;11
2016.04.17;34;16
2016.04.24;35;20
2016.05.01;42;32
2016.05.08;54;24
2016.05.15;45;38
2016.05.22;55;31
2016.05.29;67;45
2016.06.05;76;75
2016.06.12;71;91
2016.06.19;76;118
2016.06.26;69;119
2016.07.03;77;149
2016.07.10;64;133
2016.07.17;68;189
2016.07.24;63;194
2016.07.31;56;166
2016.08.07;55;170
2016.08.14;55;170
2016.08.21;61;208
2016.08.28;54;191
2016.09.04;54;253
2016.09.11;49;187
2016.09.18;41;199
2016.09.25;43;161
2016.10.02;38;153
2016.10.09;31;98
2016.10.16;38;99
2016.10.23;28;110
2016.10.30;34;77
2016.11.06;28;85
2016.11.13;27;90
2016.11.20;27;72
2016.11.27;27;66
2016.12.04;23;45
2016.12.11;32;53
2016.12.18;24;37
2016.12.25;22;56
2017.01.01;18;13
2017.01.08;22;22
2017.01.15;23;25
2017.01.22;20;29
2017.01.29;18;35
2017.02.05;22;31
2017.02.12;27;18
2017.02.19;21;16
2017.02.26;28;17
2017.03.05;26;18
2017.03.12;23;12
2017.03.19;30;18
2017.03.26;27;16
2017.04.02;36;15
2017.04.09;34;20
2017.04.16;37;21
2017.04.23;37;17
2017.04.30;35;23
2017.05.07;39;19
2017.05.14;46;37
2017.05.21;62;42
2017.05.28;67;31
2017.06.04;69;68
2017.06.11;78;38
