time;borrgt;rki
2017.06.18;76;79
2017.06.25;94;90
2017.07.02;84;123
2017.07.09;71;135
2017.07.16;68;157
2017.07.23;48;181
2017.07.30;64;148
2017.08.06;53;150
2017.08.13;52;131
2017.08.20;55;149
2017.08.27;53;124
2017.09.03;46;157
2017.09.10;42;156
2017.09.17;42;130
2017.09.24;41;157
2017.10.01;36;119
2017.10.08;39;70
2017.10.15;42;82
2017.10.22;37;109
2017.10.29;31;101
2017.11.05;27;58
2017.11.12;33;65
2017.11.19;33;85
2017.11.26;28;93
2017.12.03;26;63
2017.12.10;23;65
2017.12.17;22;62
2017.12.24;21;38
2017.12.31;25;13
2018.01.07;23;20
2018.01.14;25;39
2018.01.21;24;36
2018.01.28;24;36
2018.02.04;24;32
2018.02.11;23;29
2018.02.18;22;13
2018.02.25;24;25
2018.03.04;25;11
2018.03.11;26;12
2018.03.18;24;18
2018.03.25;25;22
2018.04.01;24;11
2018.04.08;36;18
2018.04.15;36;13
2018.04.22;44;19
2018.04.29;47;17
2018.05.06;57;23
2018.05.13;57;30
2018.05.20;69;52
2018.05.27;82;35
